Country Name,Languages,Name in Original language,Population,Pop. Rank,Pop Rank Stars,Pop Growth,Pop. Growth Rank,Pop Growh Rank Stars,GDP (Million US$),GDP Rank,GDP Rank Stars,GDP per capita (USD),GDP per capita Rank,GDP per capita Rank Stars,Continent,Capital,Government,"Area, Sq km2",Area Rank,Area Rank Stars,Currency,Gini Index,Gini Rank,Gini Index Rank Stars,Climate,EU?,Schengen?,WPFI,WPFI Rank,WPFI Rank Stars,HDI,HDI Rank,HDI Rank Stars,General info,Iso Code,Len(info),Len(name),Non-Independent,Chinese
Azerbaijan,Azerbaijani,Azərbaycan,"10,412,652",89,2,0.53%,135,2,"54,622",85,2,"5,246",104,2,Asia,Baku,Republic,86600,112,2,Azerbaijan manat,33.7,55,4,"Diverse; dry, hot lowlands",,,39.93,146,1,0.745,91,4,"Dubbed the ""Land of Fire,"" Azerbaijan's landscape is shaped by vast oil and gas reserves and nearly half the planet's mud volcanoes. Its capital, Baku, blends an ancient walled city with futuristic Flame Towers. As the first secular democracy in the Muslim world, it has a rich cultural heritage of carpet weaving and Mugham music. However, its modern history is marked by a long and violent conflict with Armenia over the Nagorno-Karabakh region, a deeply ingrained national trauma that has shaped its identity.",AZ,512,10,No,阿塞拜疆
Bahamas,English,The Bahamas,"412,624",170,1,0.64%,127,2,"11,209",143,1,"27,165",37,4,North America,Nassau,Republic,13943,155,2,Bahamian dollar,53.3,160,1,"Tropical; sunny, consistent temperature",,,-,-,0,0.812,54,4,"The Bahamas, an archipelago of over 700 islands and 2,000 cays, beckons with its world-famous pink sand beaches and the unique swimming pigs of Exuma. Once a notorious haven for pirates like Blackbeard and Calico Jack, its name originates from the Spanish ""baja mar,"" meaning ""shallow sea."" It's home to Dean's Blue Hole, the world's second-deepest, and a vast underwater cave system. The nation bursts into life with the vibrant Junkanoo festival, a spectacular street parade of music, dance, and elaborate costumes celebrating Bahamian culture and history.",BS,558,7,No,巴哈马
Bahrain,"Arabic, Berber",البحرين Al-Bahrayn ,"1,485,510",151,1,0.90%,98,2,"38,869",96,1,"26,165",39,4,Asia,Manama,Constitutional monarchy,786,173,1,Bahraini dinar,55.7,148,1,"Arid; desert, hot, humid",,,30.59,166,1,0.875,35,5,"The smallest country in the Middle East, Bahrain is a strategically important archipelago with a history stretching back to the ancient Dilmun civilization, a major Bronze Age trade hub. Once the center of the world's pearl trade, its wealth now comes from being the first Gulf state to discover oil. It hosts a thrilling Formula One Grand Prix and is home to the mysterious Tree of Life, a 400-year-old tree that stands alone in the desert. The capital, Manama, boasts modern skyscrapers alongside the ancient, UNESCO-listed Bahrain Fort.",BH,539,7,No,巴林
Bangladesh,Bengali,Bangladesh বাংলাদেশ,"172,954,319",8,5,1.03%,90,3,"414,907",34,3,"2,399",140,2,Asia,Dhaka,Republic,148460,92,3,Bangladeshi taka,49.9,171,2,"Tropical; mild winter, hot summer",,,35.31,158,1,0.661,128,3,"A land of lush greenery and countless rivers, Bangladesh is one of the world's most densely populated and climate-vulnerable nations. It hosts the planet's largest river delta and longest natural sea beach, Cox's Bazar, now home to one of the world's largest refugee camps for Rohingya Muslims fleeing persecution in Myanmar. Its Sundarbans mangrove forest is a vital sanctuary for the Bengal tiger. Despite facing immense challenges, this vibrant nation has a passionate cricket culture and a resilient spirit forged in its 1971 war for independence.",BD,551,10,No,孟加拉国
Barbados,English,Barbados,"281,996",174,1,0.13%,159,2,"4,844",156,1,"17,178",52,3,North America,Bridgetown,Republic,431,183,1,Barbadian dollar,47,161,2,Tropical; moderate temperatures,,,-,-,0,0.79,69,4,"The birthplace of rum, Barbados is home to the world's oldest operating rum distillery, Mount Gay, founded in 1703. Its name is derived from the ""Bearded Fig Tree,"" which once covered the island. Notably, it was the only foreign country George Washington ever visited. In 2021, it became a republic, replacing the British monarch with its own head of state. The island is the birthplace of global superstar Rihanna, and its national dish is the unique Cou-Cou and flying fish. Cricket is the national sport, deeply woven into the island's culture.",BB,547,8,No,巴巴多斯
Belarus,Belarusian,"Bielaruś, Беларусь","9,498,238",96,2,-0.39%,183,1,"68,206",77,2,"7,181",87,2,Europe,Minsk,Republic,207600,84,3,Belarusian ruble,24.4,5,5,"Temperate; cold winters, cool summers",,,37.17,152,1,0.808,59,4,"Known as the ""Lungs of Europe,"" 40% of Belarus is covered in pristine forests, including the ancient Białowieża Forest, a UNESCO site home to the rare European bison. Its capital, Minsk, is a showcase of grandiose Soviet-era architecture, having been completely rebuilt after WWII. A surprising hub for the IT industry, it's the birthplace of the popular game ""World of Tanks"" and the Viber messaging app. Often called Europe's ""last dictatorship,"" it retains a state-controlled economy, a deep love for potatoes, boasting over 300 recipes for the tuber.",BY,554,7,No,白俄罗斯
Belgium,"Dutch, French, German","België, Belgique, Belgien","11,686,140",81,2,0.26%,151,2,"594,104",24,3,"50,838",20,5,Europe,Brussels,Constitutional monarchy,30528,136,2,European euro,24.9,7,5,"Temperate; mild, moderate rainfall",Yes,Yes,76.47,31,4,0.937,12,5,"Belgium, a kingdom of castles and the heart of the EU, has a complex legacy. While celebrated for giving the world fries (not French!), over 1,500 beers, and comics like Tintin, its history is stained by the brutal colonial exploitation of the Congo under King Leopold II. Home to the world's diamond capital, Antwerp, and the first skyscraper in Europe, this nation also birthed the saxophone and the Big Bang theory. Its influence is a mix of cultural richness and a dark, colonial past.",BE,489,7,No,比利时
Belize,English,Belize,"410,825",171,1,1.37%,75,3,"2,492",166,1,"6,066",97,2,North America,Belmopan,Constitutional monarchy,22966,147,2,Belize dollar,49.8,170,2,"Tropical; hot, wet and dry seasons",,,70.49,50,3,0.683,123,3,"A jewel in the heart of the Caribbean basin, Belize boasts the second-largest barrier reef in the world, a UNESCO World Heritage site, and the massive, mesmerizing Great Blue Hole. Formerly British Honduras, it's the only English-speaking country in Central America, with a vibrant Creole culture. Home to over 900 Mayan ruins, its tallest building remains a Mayan temple from the ancient city of Caracol. It also hosts the world's only jaguar preserve, the Cockscomb Basin Wildlife Sanctuary, and is a critical habitat for howler monkeys and tapirs.",BZ,550,6,No,伯利兹
Benin,French,Bénin,"13,712,828",76,2,2.70%,17,4,"17,688",122,1,"1,290",162,1,Africa,Porto-Novo,Republic,114763,100,3,West African CFA franc,37.8,101,3,"Tropical; hot, wet/dry seasons",,,52.44,108,2,0.525,165,2,"The birthplace of the Vodun (Voodoo) religion, which remains an official religion celebrated with a national holiday. Benin was once the powerful Kingdom of Dahomey, famous for its formidable all-female warriors, the ""Amazons,"" and its central role in the slave trade, memorialized by the ""Gate of No Return."" Its history is etched in the bas-reliefs of Abomey's Royal Palaces. Ganvié, a unique village built entirely on stilts on Lake Nokoué, is home to thousands. This West African nation was a pioneer in transitioning to multi-party democracy in the 1990s.",BJ,560,5,No,贝宁
Bhutan,Dzongkha,"Druk Yul, འབྲུག་ཡུལ","787,425",161,1,0.64%,126,2,"2,381",168,1,"3,024",134,2,Asia,Thimphu,Constitutional monarchy,38394,133,2,Bhutanese ngultrum,37.4,97,3,Varied; tropical to alpine,,,59.25,87,2,0.666,126,3,"Bhutan, the ""Land of the Thunder Dragon,"" is a carbon-negative kingdom nestled in the Himalayas, famed for its dramatic landscapes and vibrant Buddhist culture. It uniquely prioritizes Gross National Happiness over GDP, a philosophy guiding its development. Tourism is exclusive, aiming for high value and low impact to preserve its pristine environment and ancient traditions. Despite this, Bhutan grapples with youth unemployment, infrastructure challenges, and pressure from modernization, testing its ability to balance progress with its unique identity and values in a rapidly changing world.",BT,597,6,No,不丹
Bolivia,"Aymara, Guaraní, Quechua, Spanish","Wuliwya, Volívia, Buliwya, Bolivia","12,388,571",79,2,1.35%,76,3,"40,408",93,1,"3,262",131,2,South America,"Sucre (de jure),
La Paz (government)",Republic,1098581,27,5,Bolivian boliviano,43.6,143,3,Varied; tropical to arctic,,,51.09,113,2,0.692,118,3,"Bolivia, a land of stunning extremes, boasts a landscape from the soaring Andes to the Amazon rainforest and the surreal Salar de Uyuni, the world's largest salt flat. It has the largest indigenous population in Latin America, with vibrant traditions deeply woven into its social fabric. Home to the world's largest lithium reserves, it holds a key to the future of energy. However, this resource wealth contrasts sharply with its history of political instability, social unrest, and struggles to convert natural riches into widespread prosperity for its people.",BO,562,7,No,玻利维亚
Bosnia and Herzegovina,"Bosnian, Serbian, Croatian","Bosnia I Hercegovína, Босна и Херцеговина","3,210,848",134,2,-0.70%,189,1,"23,365",110,1,"7,277",85,2,Europe,Sarajevo,Republic,51209,125,2,Bosnia and Herzegovina convertible mark,32.7,48,4,Continental and Mediterranean; variable,,,65.43,62,3,0.78,73,4,"Bosnia and Herzegovina, a crossroads of cultures in the Balkans, bears the living history of empires in cities like Sarajevo and Mostar, with its iconic Stari Most bridge. Its stunning natural beauty, with rugged mountains and pristine rivers, offers a sharp contrast to the deep scars of the brutal 1990s war. The country is still navigating a fragile peace under a complex political system, divided along ethnic lines. This division complicates its path toward European integration and economic recovery, making its future a continuous balancing act.",BA,552,22,No,波斯尼亚和黑塞哥维那
Botswana,"English, Tswana",Botswana,"2,675,353",141,2,1.71%,56,3,"17,615",123,1,"6,584",93,2,Africa,Gaborone,Republic,581730,47,4,Botswana pula,53.3,175,1,"Semi-arid; hot, dry",,,64.61,63,2,0.693,116,3,"Botswana shines as a beacon of stability and democracy in Africa, a story built on prudent management of its immense diamond wealth. This has funded development and conservation, including the pristine Okavango Delta, a UNESCO site teeming with wildlife. It's a leader in conservation, with vast protected lands. However, this success is shadowed by vast inequality, high unemployment, and the lingering HIV/AIDS epidemic. The nation's key challenge is diversifying its economy beyond diamonds and ensuring its prosperity is shared by all its citizens.",BW,552,8,No,博茨瓦纳
Brazil,Portuguese,Brasil,"216,422,446",7,5,0.52%,137,2,"1,608,981",13,4,"7,434",84,2,South America,Brasilia,Republic,8515767,5,5,Brazilian real,48.9,166,2,Mostly tropical; varies with altitude,,,58.67,89,2,0.754,86,4,"Brazil is a continental nation of contrasts, from the pulsating energy of Rio's Carnival to the depths of the Amazon rainforest, the planet's lungs. Its culture is a vibrant melting pot, famous for its music and legendary football passion. An agricultural and industrial powerhouse, its economic might is deeply scarred by stark social inequality, rampant deforestation, and volatile political polarization. Brazil's future hinges on reconciling development with environmental preservation and social justice for its diverse population, a challenge of global significance.",BR,572,6,No,巴西
Brunei,Malay,Brunei بروني,"452,524",169,1,0.78%,110,2,"14,006",134,1,"30,951",32,4,Asia,Bandar Seri Begawan,Absolute monarchy,5765,164,1,Brunei dollar,63.4,187,1,"Tropical; hot, humid",,,44.2,137,1,0.829,50,4,"Brunei, a tiny, oil-rich sultanate on Borneo, presents a façade of gilded mosques and pristine rainforests, funded by vast petroleum reserves. The absolute monarch, the Sultan, rules over a nation with no income tax and free healthcare. This utopian image is contrasted by its implementation of strict Sharia law, drawing international condemnation for harsh punishments and human rights restrictions. With oil reserves dwindling, Brunei faces an existential challenge: to diversify its economy and modernize, or risk its carefully constructed prosperity fading away.",BN,567,6,No,文莱
Bulgaria,Bulgarian,"Bulgariya, България","6,687,717",108,2,-1.39%,193,1,"84,058",70,2,"12,569",59,3,Europe,Sofia,Republic,111002,103,3,Bulgarian lev,40.3,122,3,"Temperate; cold winters, hot summers",Yes,No,62.98,69,2,0.795,68,4,"Bulgaria, one of Europe's oldest nations, is where East meets West, with a rich history from Thracian tombs to Ottoman and Soviet rule remnants. It's the birthplace of the Cyrillic alphabet, a gift to the Slavic world. Its landscape varies from sunny Black Sea beaches to rugged Balkan mountains. As an EU member, it grapples with a demographic crisis due to mass emigration, and pervasive corruption that hampers its economy. These challenges are significant obstacles to realizing its full potential within Europe.",BG,516,8,No,保加利亚
Burkina Faso,French,Burkina Faso,"23,251,485",58,3,2.55%,25,4,"19,738",112,1,849,174,1,Africa,Ouagadougou,Provisional,274222,74,3,West African CFA franc,38.9,112,3,"Tropical; hot, wet/dry seasons",,,67.64,56,3,0.449,183,1,"Burkina Faso, the ""Land of Honest Men,"" is a cultural heartland in West Africa, celebrated for its vibrant music, traditional dance, and prestigious FESPACO film festival. This rich cultural identity stands in stark defiance of a brutal reality. The nation is at the epicenter of a violent jihadist insurgency that has spiraled into a devastating humanitarian crisis with millions displaced and state authority collapsing in large areas. This is a profound tragedy for one of the world's poorest countries, now fighting for its survival.",BF,537,12,No,布基纳法索
Burundi,"French, Kirundi","Burundi, Uburundi","13,238,559",77,2,2.71%,15,4,"3,900",161,1,295,194,1,Africa,Gitega,Republic,27834,142,2,Burundi franc,38.6,107,3,"Temperate; high altitude, equatorial",,,52.14,110,2,0.426,186,1,"Burundi, the ""Heart of Africa,"" is a stunningly beautiful country of verdant hills and shores along Lake Tanganyika, one of the world's deepest lakes. This natural beauty belies a deeply troubled history. Decades of ethnic conflict and civil war have left it one of the planet's poorest and least developed nations. Political instability, repression, and extreme poverty are daily realities for its people, most of whom depend on subsistence farming. Escaping this cycle of violence and poverty remains Burundi's most formidable challenge.",BI,539,7,No,布隆迪
Cambodia,Khmer,Kampuchea កម្ពុជា,"16,944,826",72,2,1.06%,87,3,"26,669",105,1,"1,574",155,1,Asia,Phnom Penh,Constitutional monarchy,181035,88,3,Cambodian riel,36,85,4,"Tropical; hot, monsoon seasons",,,42.02,142,1,0.593,145,2,"Cambodia's story is one of breathtaking highs and devastating lows. Heir to the magnificent Khmer Empire, which built the iconic Angkor Wat, its grandeur is forever scarred by the 20th-century genocide under the Khmer Rouge. Today, the nation is healing, with a fast-growing economy fueled by tourism and garments. However, this progress is fragile, undermined by systemic corruption, authoritarian rule, and vast inequality. This creates a stark contrast between its ancient wonders and modern challenges, defining the Cambodian experience.",KH,541,8,No,柬埔寨
Cameroon,"English, French","Cameroon, Cameroun","28,647,293",53,3,2.62%,21,4,"45,368",89,1,"1,584",154,1,Africa,Yaounde,Republic,475442,53,3,Central African CFA franc,46.6,159,2,"Diverse; tropical, varied elevations",,,45.58,134,2,0.576,150,2,"Dubbed ""Africa in Miniature,"" Cameroon's landscape is a stunning mosaic of rainforests, volcanic mountains, savannas, and beaches. This geographical diversity is matched by its human tapestry. A complex colonial history under German, then French and British rule, created a bilingual nation with over 200 local languages. This linguistic divide fuels a violent separatist conflict in its Anglophone regions. In the north, it battles the Boko Haram insurgency. Despite this turmoil and political stagnation, the passion for its ""Indomitable Lions"" football team remains a powerful, unifying force.",CM,596,8,No,喀麦隆
Canada,"English, French",Canada,"38,781,292",38,3,0.85%,103,2,"1,988,336",9,4,"51,270",18,5,North America,Ottawa,Constitutional monarchy,9984670,2,5,Canadian dollar,30.3,34,4,Vast; varies from temperate to arctic,,,83.53,15,4,0.936,14,5,"Renowned for its vast wilderness, passion for hockey, and maple syrup, Canada is more than its stereotypes. As a high-income nation, it projects an image of multiculturalism and politeness, sharing the world's longest undefended border with the US. This image, however, is complicated by a dark and ongoing history of systemic injustices against its Indigenous peoples, including residential schools and land disputes. While celebrated for its social safety net, Canada also faces significant environmental challenges linked to its vast oil sands and natural resource extraction.",CA,579,6,No,加拿大
Cape Verde,Portuguese,Cabo Verde,"598,682",166,1,0.93%,96,2,"1,936",173,1,"3,234",133,2,Africa,Praia,Republic,4033,166,1,Cabo Verdean escudo,42.4,138,3,"Tropical; dry, moderate temperatures",,,75.72,33,4,0.662,127,3,"This volcanic archipelago and former Portuguese colony is a beacon of democracy in West Africa, known for its vibrant Creole culture. Its islands are a critical sanctuary for nesting loggerhead turtles and breeding humpback whales. The nation's soul is expressed through Morna, the famously melancholic music of Cesária Évora. Yet, this stunning beauty belies a harsh reality; as part of the Sahel, Cape Verde constantly battles extreme water scarcity and devastating droughts, a persistent threat to its existence.",CV,515,10,No,佛得角
Central African Republic,"French, sango","République Centrafricaine, Ködörösêse tî Bêafrîka","5,742,316",115,2,2.92%,11,4,"2,518",165,1,438,190,1,Africa,Bangui,Republic,622984,44,4,Central African CFA franc,56.2,182,1,"Tropical; hot, wet/dry seasons",,,57.56,94,2,0.404,187,1,"The Central African Republic is a study in paradox: a nation blessed with vast deposits of diamonds, gold, and uranium, yet consistently ranked among the world's poorest. Its post-independence history is scarred by instability, most infamously the grotesquely lavish and brutal reign of self-proclaimed Emperor Bokassa. Since 2012, it has been consumed by a sectarian civil war, creating a catastrophic humanitarian crisis with millions needing aid. Amid the chaos, the Dzanga-Sangha protected areas remain a vital sanctuary for endangered forest elephants and western lowland gorillas.",CF,586,24,No,中非
Chad,"Arabic, French","Tchad, تشاد","18,278,568",66,2,3.13%,5,5,"16,410",125,1,898,170,1,Africa,N'Djamena,Provisional,1284000,20,5,Central African CFA franc,37.5,98,3,"Arid; desert, hot, dry",,,53.73,105,2,0.394,189,1,"Landlocked and dominated by the Sahara, Chad is called ""The Babel Tower of the World"" for its extraordinary diversity, with over 120 languages and 200 ethnic groups. Its history is marked by political instability and authoritarian rule. Despite the discovery of oil in 2003, it remains one of the poorest and most corrupt nations on Earth. The ecological disaster of Lake Chad, which has shrunk by 90%, has devastated local economies. This deep poverty is compounded by its role as a major host for refugees fleeing conflicts in Sudan, CAR, and Nigeria.",TD,553,4,No,乍得
Chile,Spanish,Chile,"19,629,590",64,2,0.13%,158,2,"317,059",42,3,"16,152",54,3,South America,Santiago,Republic,756102,37,4,Chilean peso,46,156,2,Diverse; desert to temperate,,,60.09,80,2,0.855,42,5,"Stretching like a ribbon down South America's edge, Chile is a land of dramatic extremes. It holds the Atacama, the world's driest desert and a hub for astronomy, and the glacial fjords of Patagonia. A global powerhouse in copper and wine production, its economic success is tempered by deep-seated social inequality. Its history is marked by the brutal Pinochet dictatorship, a dark period still shaping its politics. Chile's territory extends to the enigmatic Easter Island, whose giant Moai statues guard the secrets of a lost civilization, the Rapa Nui.",CL,557,5,No,智利
China,Mandarin Chinese,Zhōngguó 中国,"1,425,671,352",2,5,-0.02%,167,1,"17,734,131",2,5,"12,439",60,3,Asia,Beijing,Republic,9596961,4,5,Chinese Yuan Renminbi,38.2,105,3,Immense; varied from tropical to subarctic,,,22.97,174,1,0.768,78,4,"A nation of immense scale and ancient history, China has transformed into a global superpower. Its economic miracle lifted hundreds of millions from poverty, creating futuristic cities and vast infrastructure. This rise, however, is managed by the iron fist of the Communist Party, which oversees severe repression of minorities like the Uyghurs, dismantled freedoms in Hong Kong, and pervasive state surveillance. While a leader in technology and manufacturing, its military expansionism and regional claims create significant global tensions.",CN,544,5,No,中国
Colombia,Spanish,Colombia,"52,085,168",28,4,0.41%,144,2,"314,464",43,3,"6,037",98,2,South America,Bogotá,Republic,1141748,25,5,Colombian peso,54.2,177,1,Equatorial; varied elevation climates,,,45.32,135,2,0.752,87,4,"A nation of staggering biodiversity, from Andean peaks to Amazon rainforests, Colombia is the mythical land of El Dorado. Famed for its rich coffee and vibrant culture—a fusion of Indigenous, Spanish, and African heritage—its beauty has been scarred by decades of brutal civil conflict funded by the cocaine trade. While a 2016 peace deal ended the main war with FARC guerrillas, the country still grapples with the deep wounds of violence, social inequality, and the lingering power of drug cartels.",CO,500,8,No,哥伦比亚
Comoros,"Arabic, French, Shikomor",جزر القمر Comores Koromi,"852,075",159,1,1.83%,53,3,"1,340",179,1,"1,573",156,1,Africa,Moroni,Republic,1862,170,1,Comorian franc,45.3,152,2,"Tropical; hot, humid",,,62.25,73,2,0.558,156,2,"Known as the ""Perfumed Islands"" for its fragrant ylang-ylang plantations, the Comoros archipelago is a blend of African, Arab, and French cultures. Its stunning volcanic landscapes mask deep-seated struggles. Since independence in 1975, this small nation has been plagued by chronic political instability and over 20 attempted coups, earning it the moniker ""the coup-coup islands."" Endemic poverty and high unemployment define its fragile economy, creating a cycle of political turmoil.",KM,486,7,No,科摩罗
Congo,"French, Lingala","République du Congo, Republíki ya Kongó","6,106,869",111,2,2.29%,36,4,"12,841",138,1,"2,103",145,2,Africa,Brazzaville,Republic,342000,64,3,Central African CFA franc,48.9,167,2,"Equatorial; hot, humid",,,60.42,78,2,0.571,152,2,"The Republic of the Congo (Congo-Brazzaville) has a history steeped in Cold War politics, becoming Africa's first Marxist People's Republic. After decades of one-party rule and a devastating 1990s civil war, its economy is now almost entirely dependent on oil exports, creating immense wealth for a small elite while most live in poverty. Long-time president Denis Sassou Nguesso has overseen a massive accumulation of debt, particularly to China, which has funded large-scale infrastructure projects in exchange for resources, creating a modern, oil-backed vassal state.",CG,571,5,No,刚果
Costa Rica,Spanish,Costa Rica,"5,212,173",122,2,0.60%,129,2,"64,282",79,2,"12,333",61,3,North America,San Jose,Republic,51100,126,2,Costa Rican colon,49.3,168,2,Tropical; wet and dry seasons,,,80.2,23,4,0.809,58,4,"Often called the 'Switzerland of Central America,' Costa Rica is a global leader in sustainability, generating over 98% of its energy from renewable sources. Home to 5% of the world's biodiversity and with a quarter of its land protected, it's a haven for ecotourism. The national motto 'Pura Vida' (pure life) reflects a culture of peace and happiness, underscored by the abolition of its army in 1949. While it boasts a high standard of living, it grapples with significant public debt and rising income inequality.",CR,517,10,No,哥斯达黎加
